,County,County Code,Deaths,Population
0,"Autauga County, AL",1001.0,32.0,2181.0
1,"Baldwin County, AL",1003.0,69.0,4811.0
2,"Barbour County, AL",1005.0,37.0,3123.0
3,"Bibb County, AL",1007.0,19.0,1075.0
4,"Bullock County, AL",1011.0,24.0,1916.0
5,"Butler County, AL",1013.0,30.0,2446.0
6,"Calhoun County, AL",1015.0,91.0,6411.0
7,"Chambers County, AL",1017.0,31.0,3307.0
8,"Chilton County, AL",1021.0,20.0,1308.0
9,"Choctaw County, AL",1023.0,12.0,1323.0
10,"Clarke County, AL",1025.0,37.0,2981.0
11,"Clay County, AL",1027.0,11.0,571.0
12,"Coffee County, AL",1031.0,29.0,2404.0
13,"Colbert County, AL",1033.0,34.0,2063.0
14,"Conecuh County, AL",1035.0,23.0,1637.0
15,"Coosa County, AL",1037.0,17.0,666.0
16,"Covington County, AL",1039.0,18.0,1365.0
17,"Dale County, AL",1045.0,34.0,2934.0
18,"Dallas County, AL",1047.0,80.0,8933.0
19,"Elmore County, AL",1051.0,50.0,3784.0
20,"Escambia County, AL",1053.0,43.0,3052.0
21,"Etowah County, AL",1055.0,60.0,4276.0
22,"Greene County, AL",1063.0,21.0,1904.0
23,"Hale County, AL",1065.0,26.0,2521.0
24,"Houston County, AL",1069.0,91.0,7774.0
25,"Jefferson County, AL",1073.0,1287.0,75362.0
26,"Lauderdale County, AL",1077.0,33.0,2379.0
27,"Lee County, AL",1081.0,103.0,8234.0
28,"Limestone County, AL",1083.0,21.0,2166.0
29,"Lowndes County, AL",1085.0,27.0,2336.0
30,"Macon County, AL",1087.0,51.0,3368.0
31,"Madison County, AL",1089.0,278.0,20637.0
32,"Marengo County, AL",1091.0,40.0,2530.0
33,"Mobile County, AL",1097.0,580.0,42708.0
34,"Monroe County, AL",1099.0,27.0,2605.0
35,"Montgomery County, AL",1101.0,453.0,34659.0
36,"Morgan County, AL",1103.0,55.0,3948.0
37,"Perry County, AL",1105.0,29.0,2143.0
38,"Pickens County, AL",1107.0,39.0,2205.0
39,"Pike County, AL",1109.0,43.0,3009.0
40,"Randolph County, AL",1111.0,12.0,1349.0
41,"Russell County, AL",1113.0,79.0,5696.0
42,"St. Clair County, AL",1115.0,19.0,1422.0
43,"Shelby County, AL",1117.0,62.0,4520.0
44,"Sumter County, AL",1119.0,51.0,2374.0
45,"Talladega County, AL",1121.0,95.0,6198.0
46,"Tallapoosa County, AL",1123.0,42.0,3031.0
47,"Tuscaloosa County, AL",1125.0,309.0,14982.0
48,"Walker County, AL",1127.0,23.0,1194.0
49,"Washington County, AL",1129.0,16.0,871.0
50,"Wilcox County, AL",1131.0,28.0,2449.0
51,"Anchorage Borough, AK",2020.0,51.0,8412.0
52,"Fairbanks North Star Borough, AK",2090.0,20.0,2529.0
53,"Cochise County, AZ",4003.0,20.0,2208.0
54,"Maricopa County, AZ",4013.0,813.0,73697.0
55,"Pima County, AZ",4019.0,134.0,14483.0
56,"Pinal County, AZ",4021.0,40.0,4242.0
57,"Yuma County, AZ",4027.0,13.0,1745.0
58,"Arkansas County, AR",5001.0,12.0,1386.0
59,"Ashley County, AR",5003.0,15.0,1483.0
60,"Benton County, AR",5007.0,11.0,1208.0
61,"Bradley County, AR",5011.0,15.0,903.0
62,"Chicot County, AR",5017.0,16.0,1840.0
63,"Columbia County, AR",5027.0,25.0,2352.0
64,"Craighead County, AR",5031.0,65.0,4715.0
65,"Crittenden County, AR",5035.0,166.0,9010.0
66,"Cross County, AR",5037.0,21.0,1194.0
67,"Dallas County, AR",5039.0,10.0,903.0
68,"Desha County, AR",5041.0,20.0,2034.0
69,"Drew County, AR",5043.0,25.0,1531.0
70,"Faulkner County, AR",5045.0,48.0,3335.0
71,"Garland County, AR",5051.0,35.0,2521.0
72,"Hempstead County, AR",5057.0,24.0,2041.0
73,"Jackson County, AR",5067.0,10.0,837.0
74,"Jefferson County, AR",5069.0,136.0,12345.0
75,"Lee County, AR",5077.0,16.0,1465.0
76,"Lonoke County, AR",5085.0,18.0,1160.0
77,"Miller County, AR",5091.0,38.0,3328.0
78,"Mississippi County, AR",5093.0,70.0,5667.0
79,"Monroe County, AR",5095.0,11.0,1034.0
80,"Ouachita County, AR",5103.0,28.0,2800.0
81,"Phillips County, AR",5107.0,53.0,4882.0
82,"Pulaski County, AR",5119.0,569.0,40263.0
83,"St. Francis County, AR",5123.0,43.0,4503.0
84,"Saline County, AR",5125.0,11.0,1272.0
85,"Sebastian County, AR",5131.0,27.0,3195.0
86,"Union County, AR",5139.0,55.0,4033.0
87,"Washington County, AR",5143.0,33.0,2478.0
88,"White County, AR",5145.0,15.0,1144.0
89,"Alameda County, CA",6001.0,479.0,51024.0
90,"Butte County, CA",6007.0,17.0,1590.0
91,"Contra Costa County, CA",6013.0,239.0,26956.0
92,"Fresno County, CA",6019.0,275.0,20270.0
93,"Kern County, CA",6029.0,219.0,18483.0
94,"Kings County, CA",6031.0,26.0,3058.0
95,"Los Angeles County, CA",6037.0,2325.0,235334.0
96,"Marin County, CA",6041.0,12.0,1383.0
97,"Merced County, CA",6047.0,32.0,3494.0
98,"Monterey County, CA",6053.0,20.0,3730.0
99,"Orange County, CA",6059.0,116.0,17004.0
100,"Placer County, CA",6061.0,12.0,1449.0
101,"Riverside County, CA",6065.0,355.0,40729.0
102,"Sacramento County, CA",6067.0,531.0,52464.0
103,"San Bernardino County, CA",6071.0,783.0,62045.0
104,"San Diego County, CA",6073.0,550.0,59387.0
105,"San Francisco County, CA",6075.0,126.0,11785.0
106,"San Joaquin County, CA",6077.0,232.0,18949.0
107,"San Mateo County, CA",6081.0,37.0,6222.0
108,"Santa Barbara County, CA",6083.0,19.0,2656.0
109,"Santa Clara County, CA",6085.0,103.0,14893.0
110,"Shasta County, CA",6089.0,12.0,1074.0
111,"Solano County, CA",6095.0,159.0,17661.0
112,"Sonoma County, CA",6097.0,21.0,3017.0
113,"Stanislaus County, CA",6099.0,72.0,5995.0
114,"Tulare County, CA",6107.0,21.0,3526.0
115,"Ventura County, CA",6111.0,40.0,4908.0
116,"Yolo County, CA",6113.0,12.0,1623.0
117,"Yuba County, CA",6115.0,16.0,1201.0
118,"Adams County, CO",8001.0,58.0,5990.0
119,"Arapahoe County, CO",8005.0,225.0,19724.0
120,"Denver County, CO",8031.0,296.0,20668.0
121,"Douglas County, CO",8035.0,12.0,1096.0
122,"El Paso County, CO",8041.0,201.0,17171.0
123,"Jefferson County, CO",8059.0,20.0,2597.0
124,"Fairfield County, CT",9001.0,296.0,29146.0
125,"Hartford County, CT",9003.0,417.0,34772.0
126,"Middlesex County, CT",9007.0,23.0,2227.0
127,"New Haven County, CT",9009.0,363.0,33410.0
128,"New London County, CT",9011.0,58.0,5760.0
129,"Kent County, DE",10001.0,126.0,11116.0
130,"New Castle County, DE",10003.0,553.0,35383.0
131,"Sussex County, DE",10005.0,111.0,8629.0
132,"District of Columbia, DC",11001.0,1279.0,84086.0
133,"Alachua County, FL",12001.0,245.0,16296.0
134,"Bay County, FL",12005.0,101.0,6401.0
135,"Bradford County, FL",12007.0,18.0,1305.0
136,"Brevard County, FL",12009.0,176.0,15803.0
137,"Broward County, FL",12011.0,1397.0,147564.0
138,"Charlotte County, FL",12015.0,20.0,1872.0
139,"Citrus County, FL",12017.0,12.0,1129.0
140,"Clay County, FL",12019.0,48.0,4818.0
141,"Collier County, FL",12021.0,81.0,8142.0
142,"Columbia County, FL",12023.0,44.0,3144.0
143,"DeSoto County, FL",12027.0,13.0,952.0
144,"Duval County, FL",12031.0,1220.0,81884.0
145,"Escambia County, FL",12033.0,344.0,22611.0
146,"Flagler County, FL",12035.0,19.0,1995.0
147,"Gadsden County, FL",12039.0,111.0,7082.0
148,"Hamilton County, FL",12047.0,17.0,1045.0
149,"Hendry County, FL",12051.0,19.0,1605.0
150,"Hernando County, FL",12053.0,33.0,2489.0
151,"Highlands County, FL",12055.0,45.0,3165.0
152,"Hillsborough County, FL",12057.0,1016.0,66215.0
153,"Indian River County, FL",12061.0,62.0,4129.0
154,"Jackson County, FL",12063.0,34.0,2732.0
155,"Jefferson County, FL",12065.0,20.0,1238.0
156,"Lake County, FL",12069.0,97.0,8421.0
157,"Lee County, FL",12071.0,231.0,17596.0
158,"Leon County, FL",12073.0,303.0,22167.0
159,"Levy County, FL",12075.0,13.0,1136.0
160,"Madison County, FL",12079.0,28.0,1941.0
161,"Manatee County, FL",12081.0,137.0,10994.0
162,"Marion County, FL",12083.0,180.0,12652.0
163,"Martin County, FL",12085.0,39.0,2508.0
164,"Miami-Dade County, FL",12086.0,1465.0,141918.0
165,"Monroe County, FL",12087.0,13.0,1500.0
166,"Nassau County, FL",12089.0,15.0,1015.0
167,"Okaloosa County, FL",12091.0,89.0,6451.0
168,"Okeechobee County, FL",12093.0,14.0,753.0
169,"Orange County, FL",12095.0,1005.0,80624.0
170,"Osceola County, FL",12097.0,91.0,9592.0
171,"Palm Beach County, FL",12099.0,760.0,75882.0
