"Notes","County","County Code",Deaths,Population,Crude Rate
"Autauga County, AL","01001",1617,190543,848.6
"Baldwin County, AL","01003",2836,349667,811.1
"Barbour County, AL","01005",2348,261882,896.6
"Bibb County, AL","01007",764,98459,776.0
"Blount County, AL","01009",150,19389,773.6
"Bullock County, AL","01011",1745,156360,1116.0
"Butler County, AL","01013",2031,178451,1138.1
"Calhoun County, AL","01015",4505,475400,947.6
"Chambers County, AL","01017",2749,274527,1001.4
"Cherokee County, AL","01019",308,26213,1175.0
"Chilton County, AL","01021",871,90162,966.0
"Choctaw County, AL","01023",1427,123796,1152.7
"Clarke County, AL","01025",2335,229814,1016.0
"Clay County, AL","01027",443,43033,1029.4
"Cleburne County, AL","01029",154,11294,1363.6
"Coffee County, AL","01031",1654,175580,942.0
"Colbert County, AL","01033",2022,182069,1110.6
"Conecuh County, AL","01035",1327,122108,1086.7
"Coosa County, AL","01037",782,73427,1065.0
"Covington County, AL","01039",1100,96519,1139.7
"Crenshaw County, AL","01041",808,68413,1181.1
"Cullman County, AL","01043",141,21741,648.5
"Dale County, AL","01045",1648,206811,796.9
"Dallas County, AL","01047",6375,590753,1079.1
"DeKalb County, AL","01049",211,28578,738.3
"Elmore County, AL","01051",2199,321420,684.2
"Escambia County, AL","01053",2282,242397,941.4
"Etowah County, AL","01055",3344,320576,1043.1
"Fayette County, AL","01057",535,42318,1264.2
"Franklin County, AL","01059",290,28520,1016.8
"Geneva County, AL","01061",586,54349,1078.2
"Greene County, AL","01063",1661,148538,1118.2
"Hale County, AL","01065",1983,190000,1043.7
"Henry County, AL","01067",1220,101438,1202.7
"Houston County, AL","01069",4298,516996,831.3
"Jackson County, AL","01071",433,41269,1049.2
"Jefferson County, AL","01073",53680,5539457,969.0
"Lamar County, AL","01075",413,34857,1184.8
"Lauderdale County, AL","01077",1782,187926,948.2
"Lawrence County, AL","01079",902,84091,1072.6
"Lee County, AL","01081",4955,644765,768.5
"Limestone County, AL","01083",1422,216720,656.1
"Lowndes County, AL","01085",1974,172539,1144.1
"Macon County, AL","01087",4285,357925,1197.2
"Madison County, AL","01089",9617,1592460,603.9
"Marengo County, AL","01091",2571,219010,1173.9
"Marion County, AL","01093",232,25255,918.6
"Marshall County, AL","01095",303,43236,700.8
"Mobile County, AL","01097",26656,2862625,931.2
"Monroe County, AL","01099",1964,191027,1028.1
"Montgomery County, AL","01101",18669,2461053,758.6
"Morgan County, AL","01103",2203,289170,761.8
"Perry County, AL","01105",1761,145872,1207.2
"Pickens County, AL","01107",1912,170116,1123.9
"Pike County, AL","01109",2231,239234,932.6
"Randolph County, AL","01111",1026,95373,1075.8
"Russell County, AL","01113",4106,463579,885.7
"St. Clair County, AL","01115",1014,141521,716.5
"Shelby County, AL","01117",1890,395768,477.6
"Sumter County, AL","01119",2256,204341,1104.0
"Talladega County, AL","01121",4756,526907,902.6
"Tallapoosa County, AL","01123",2406,222624,1080.7
"Tuscaloosa County, AL","01125",8646,1143706,756.0
"Walker County, AL","01127",979,86050,1137.7
"Washington County, AL","01129",883,88794,994.4
"Wilcox County, AL","01131",2018,171850,1174.3
"Winston County, AL","01133",33,3992,826.7
"Anchorage Borough, AK","02020",1570,425589,368.9
"Fairbanks North Star Borough, AK","02090",312,120997,257.9
"Juneau Borough, AK","02110",34,10467,324.8
"Kenai Peninsula Borough, AK","02122",23,10006,229.9
"Ketchikan Gateway Borough, AK","02130",12,3015,Unreliable
"Kodiak Island Borough, AK","02150",11,3717,Unreliable
"Matanuska-Susitna Borough, AK","02170",88,27497,320.0
"Apache County, AZ","04001",26,10318,252.0
"Cochise County, AZ","04003",499,133178,374.7
"Coconino County, AZ","04005",202,45150,447.4
"Gila County, AZ","04007",20,8197,244.0
"Graham County, AZ","04009",59,16791,351.4
"La Paz County, AZ","04012",31,5453,568.5
"Maricopa County, AZ","04013",20814,4257875,488.8
"Mohave County, AZ","04015",279,50065,557.3
"Navajo County, AZ","04017",152,28245,538.1
"Pima County, AZ","04019",4651,822801,565.3
"Pinal County, AZ","04021",1332,314089,424.1
"Santa Cruz County, AZ","04023",16,6865,Unreliable
"Yavapai County, AZ","04025",164,39107,419.4
"Yuma County, AZ","04027",404,106319,380.0
"Arkansas County, AR","05001",947,95514,991.5
"Ashley County, AR","05003",1364,118086,1155.1
"Baxter County, AR","05005",13,2735,Unreliable
"Benton County, AR","05007",144,70632,203.9
"Bradley County, AR","05011",874,66564,1313.0
"Calhoun County, AR","05013",285,25259,1128.3
"Carroll County, AR","05015",13,3583,Unreliable
"Chicot County, AR","05017",1649,133457,1235.6
"Clark County, AR","05019",1042,109355,952.9
"Cleburne County, AR","05023",13,2411,Unreliable
"Cleveland County, AR","05025",214,21742,984.3
"Columbia County, AR","05027",1911,181797,1051.2
"Conway County, AR","05029",548,51520,1063.7
"Craighead County, AR","05031",982,238584,411.6
"Crawford County, AR","05033",127,19449,653.0
"Crittenden County, AR","05035",4589,509583,900.5
"Cross County, AR","05037",896,85411,1049.0
"Dallas County, AR","05039",833,69714,1194.9
