,County,County Code,Deaths,Population
0,"Autauga County, AL",1001.0,1433.0,167027.0
1,"Baldwin County, AL",1003.0,2517.0,307174.0
2,"Barbour County, AL",1005.0,2092.0,237446.0
3,"Bibb County, AL",1007.0,673.0,88120.0
4,"Blount County, AL",1009.0,132.0,16508.0
5,"Bullock County, AL",1011.0,1570.0,142133.0
6,"Butler County, AL",1013.0,1832.0,160860.0
7,"Calhoun County, AL",1015.0,4020.0,424708.0
8,"Chambers County, AL",1017.0,2500.0,247091.0
9,"Cherokee County, AL",1019.0,283.0,23382.0
10,"Chilton County, AL",1021.0,791.0,80219.0
11,"Choctaw County, AL",1023.0,1283.0,112757.0
12,"Clarke County, AL",1025.0,2080.0,208079.0
13,"Clay County, AL",1027.0,393.0,38894.0
14,"Cleburne County, AL",1029.0,137.0,10026.0
15,"Coffee County, AL",1031.0,1482.0,155558.0
16,"Colbert County, AL",1033.0,1817.0,163343.0
17,"Conecuh County, AL",1035.0,1185.0,110480.0
18,"Coosa County, AL",1037.0,711.0,67415.0
19,"Covington County, AL",1039.0,986.0,86153.0
20,"Crenshaw County, AL",1041.0,740.0,61381.0
21,"Cullman County, AL",1043.0,128.0,18106.0
22,"Dale County, AL",1045.0,1442.0,184739.0
23,"Dallas County, AL",1047.0,5705.0,535935.0
24,"DeKalb County, AL",1049.0,186.0,24364.0
25,"Elmore County, AL",1051.0,1926.0,284201.0
26,"Escambia County, AL",1053.0,2050.0,218001.0
27,"Etowah County, AL",1055.0,3002.0,286501.0
28,"Fayette County, AL",1057.0,472.0,37943.0
29,"Franklin County, AL",1059.0,257.0,25151.0
30,"Geneva County, AL",1061.0,530.0,48932.0
31,"Greene County, AL",1063.0,1495.0,135485.0
32,"Hale County, AL",1065.0,1791.0,172705.0
33,"Henry County, AL",1067.0,1093.0,92042.0
34,"Houston County, AL",1069.0,3756.0,458765.0
35,"Jackson County, AL",1071.0,386.0,36711.0
36,"Jefferson County, AL",1073.0,47949.0,4962141.0
37,"Lamar County, AL",1075.0,375.0,31464.0
38,"Lauderdale County, AL",1077.0,1587.0,167710.0
39,"Lawrence County, AL",1079.0,786.0,76180.0
40,"Lee County, AL",1081.0,4401.0,566750.0
41,"Limestone County, AL",1083.0,1233.0,189112.0
42,"Lowndes County, AL",1085.0,1783.0,158235.0
43,"Macon County, AL",1087.0,3887.0,328948.0
44,"Madison County, AL",1089.0,8396.0,1402999.0
45,"Marengo County, AL",1091.0,2280.0,198989.0
46,"Marion County, AL",1093.0,211.0,22371.0
47,"Marshall County, AL",1095.0,267.0,35809.0
48,"Mobile County, AL",1097.0,23796.0,2559820.0
49,"Monroe County, AL",1099.0,1747.0,173206.0
50,"Montgomery County, AL",1101.0,16544.0,2196670.0
51,"Morgan County, AL",1103.0,1934.0,256172.0
52,"Perry County, AL",1105.0,1600.0,133675.0
53,"Pickens County, AL",1107.0,1762.0,153706.0
54,"Pike County, AL",1109.0,1990.0,214258.0
55,"Randolph County, AL",1111.0,921.0,85740.0
56,"Russell County, AL",1113.0,3648.0,409667.0
57,"St. Clair County, AL",1115.0,903.0,122933.0
58,"Shelby County, AL",1117.0,1629.0,336200.0
59,"Sumter County, AL",1119.0,2032.0,186202.0
60,"Talladega County, AL",1121.0,4221.0,472952.0
61,"Tallapoosa County, AL",1123.0,2134.0,199909.0
62,"Tuscaloosa County, AL",1125.0,7686.0,1009134.0
63,"Walker County, AL",1127.0,871.0,76842.0
64,"Washington County, AL",1129.0,809.0,80674.0
65,"Wilcox County, AL",1131.0,1806.0,156472.0
66,"Winston County, AL",1133.0,32.0,3109.0
67,"Anchorage Borough, AK",2020.0,1352.0,376201.0
68,"Fairbanks North Star Borough, AK",2090.0,279.0,106122.0
69,"Juneau Borough, AK",2110.0,30.0,8975.0
70,"Kenai Peninsula Borough, AK",2122.0,19.0,8401.0
71,"Ketchikan Gateway Borough, AK",2130.0,10.0,2540.0
72,"Kodiak Island Borough, AK",2150.0,11.0,3122.0
