,Year,Infant,28 Days,7 Days,Postneonatal,Race
3,1950,29.2,20.5,17.8,8.7,All
4,1960,26.0,18.7,16.7,7.3,All
5,1970,20.0,15.1,13.6,4.9,All
6,1980,12.6,8.5,7.1,4.1,All
7,1990,9.2,5.8,4.8,3.4,All
8,1995,7.6,4.9,4.0,2.7,All
9,2000,6.9,4.6,3.7,2.3,All
10,2004,6.8,4.5,3.6,2.3,All
11,2005,6.9,4.5,3.6,2.3,All
12,2010,6.1,4.0,3.2,2.1,All
13,2012,6.0,4.0,3.3,2.0,All
14,2013,6.0,4.0,3.3,1.9,All
15,2014,5.8,3.9,3.2,1.9,All
16,2015,5.9,3.9,3.2,2.0,All
18,1950,26.8,19.4,17.1,7.4,Race of Child: White
19,1960,22.9,17.2,15.6,5.7,Race of Child: White
20,1970,17.8,13.8,12.5,4.0,Race of Child: White
21,1980,11.0,7.5,6.2,3.5,Race of Child: White
23,1980,10.9,7.4,6.1,3.5,Race of Mother: White
24,1990,7.6,4.8,3.9,2.8,Race of Mother: White
25,1995,6.3,4.1,3.3,2.2,Race of Mother: White
26,2000,5.7,3.8,3.0,1.9,Race of Mother: White
27,2004,5.7,3.8,3.0,1.9,Race of Mother: White
28,2005,5.7,3.8,3.0,1.9,Race of Mother: White
29,2010,5.2,3.5,2.7,1.7,Race of Mother: White
30,2012,5.1,3.5,2.8,1.6,Race of Mother: White
31,2013,5.1,3.5,2.8,1.6,Race of Mother: White
32,2014,4.9,3.4,2.7,1.6,Race of Mother: White
33,2015,4.9,3.3,2.7,1.6,Race of Mother: White
36,1950,43.9,27.8,23.0,16.1,Race of Child: Black
37,1960,44.3,27.8,23.7,16.5,Race of Child: Black
38,1970,32.6,22.8,20.3,9.9,Race of Child: Black
39,1980,21.4,14.1,11.9,7.3,Race of Child: Black
42,1980,22.2,14.6,12.3,7.6,Race of Mother: Black
43,1990,18.0,11.6,9.7,6.4,Race of Mother: Black
44,1995,15.1,9.8,8.2,5.3,Race of Mother: Black
45,2000,14.1,9.4,7.6,4.7,Race of Mother: Black
46,2004,13.8,9.1,7.3,4.7,Race of Mother: Black
47,2005,13.7,9.1,7.3,4.7,Race of Mother: Black
48,2010,11.6,7.5,6.0,4.1,Race of Mother: Black
49,2012,11.2,7.3,6.0,3.9,Race of Mother: Black
50,2013,11.2,7.4,6.1,3.8,Race of Mother: Black
51,2014,11.0,7.3,6.0,3.7,Race of Mother: Black
52,2015,11.4,7.4,6.0,4.0,Race of Mother: Black
