,County,County Code,Deaths,Population
0,"Autauga County, AL",1001.0,56.0,8989.0
1,"Baldwin County, AL",1003.0,173.0,31807.0
2,"Barbour County, AL",1005.0,20.0,2776.0
3,"Bibb County, AL",1007.0,37.0,3894.0
4,"Blount County, AL",1009.0,82.0,12409.0
5,"Butler County, AL",1013.0,11.0,2236.0
6,"Calhoun County, AL",1015.0,132.0,18243.0
7,"Chambers County, AL",1017.0,24.0,4078.0
8,"Cherokee County, AL",1019.0,34.0,4326.0
9,"Chilton County, AL",1021.0,75.0,8904.0
10,"Clarke County, AL",1025.0,13.0,2837.0
11,"Clay County, AL",1027.0,13.0,2256.0
12,"Cleburne County, AL",1029.0,18.0,3010.0
13,"Coffee County, AL",1031.0,51.0,8579.0
14,"Colbert County, AL",1033.0,71.0,8890.0
15,"Covington County, AL",1039.0,43.0,6572.0
16,"Crenshaw County, AL",1041.0,13.0,2117.0
17,"Cullman County, AL",1043.0,113.0,17371.0
18,"Dale County, AL",1045.0,51.0,9668.0
19,"Dallas County, AL",1047.0,15.0,2349.0
20,"DeKalb County, AL",1049.0,112.0,15895.0
21,"Elmore County, AL",1051.0,73.0,13264.0
22,"Escambia County, AL",1053.0,41.0,5083.0
23,"Etowah County, AL",1055.0,153.0,18061.0
24,"Fayette County, AL",1057.0,17.0,3079.0
25,"Franklin County, AL",1059.0,64.0,7410.0
26,"Geneva County, AL",1061.0,26.0,4782.0
27,"Houston County, AL",1069.0,103.0,15240.0
28,"Jackson County, AL",1071.0,89.0,10089.0
29,"Jefferson County, AL",1073.0,570.0,81770.0
30,"Lamar County, AL",1075.0,20.0,2507.0
31,"Lauderdale County, AL",1077.0,93.0,15130.0
32,"Lawrence County, AL",1079.0,43.0,6078.0
33,"Lee County, AL",1081.0,105.0,20182.0
34,"Limestone County, AL",1083.0,93.0,14847.0
35,"Madison County, AL",1089.0,297.0,47522.0
36,"Marengo County, AL",1091.0,17.0,2049.0
37,"Marion County, AL",1093.0,56.0,5813.0
38,"Marshall County, AL",1095.0,201.0,21467.0
39,"Mobile County, AL",1097.0,384.0,57353.0
40,"Monroe County, AL",1099.0,17.0,2566.0
41,"Montgomery County, AL",1101.0,112.0,21310.0
42,"Morgan County, AL",1103.0,161.0,21276.0
43,"Pickens County, AL",1107.0,19.0,2397.0
44,"Pike County, AL",1109.0,28.0,3807.0
45,"Randolph County, AL",1111.0,32.0,3515.0
46,"Russell County, AL",1113.0,68.0,8022.0
47,"St. Clair County, AL",1115.0,127.0,16322.0
48,"Shelby County, AL",1117.0,209.0,37245.0
49,"Talladega County, AL",1121.0,92.0,11136.0
50,"Tallapoosa County, AL",1123.0,40.0,5614.0
51,"Tuscaloosa County, AL",1125.0,169.0,25447.0
52,"Walker County, AL",1127.0,132.0,13723.0
53,"Washington County, AL",1129.0,16.0,2194.0
54,"Winston County, AL",1133.0,46.0,4568.0
55,"Anchorage Borough, AK",2020.0,222.0,49674.0
56,"Fairbanks North Star Borough, AK",2090.0,100.0,21381.0
57,"Juneau Borough, AK",2110.0,27.0,4615.0
58,"Kenai Peninsula Borough, AK",2122.0,50.0,10116.0
59,"Ketchikan Gateway Borough, AK",2130.0,13.0,2128.0
60,"Kodiak Island Borough, AK",2150.0,12.0,2396.0
61,"Matanuska-Susitna Borough, AK",2170.0,90.0,18292.0
62,"Apache County, AZ",4001.0,28.0,3178.0
63,"Cochise County, AZ",4003.0,203.0,27116.0
64,"Coconino County, AZ",4005.0,91.0,16529.0
65,"Gila County, AZ",4007.0,57.0,7261.0
66,"Graham County, AZ",4009.0,41.0,7689.0
67,"Greenlee County, AZ",4011.0,12.0,1931.0
68,"La Paz County, AZ",4012.0,20.0,2375.0
69,"Maricopa County, AZ",4013.0,5121.0,843485.0
70,"Mohave County, AZ",4015.0,246.0,33686.0
71,"Navajo County, AZ",4017.0,62.0,11587.0
72,"Pima County, AZ",4019.0,1174.0,182583.0
73,"Pinal County, AZ",4021.0,347.0,60111.0
74,"Santa Cruz County, AZ",4023.0,68.0,12387.0
75,"Yavapai County, AZ",4025.0,189.0,32426.0
76,"Yuma County, AZ",4027.0,329.0,49588.0
77,"Arkansas County, AR",5001.0,23.0,3190.0
78,"Ashley County, AR",5003.0,26.0,3747.0
79,"Baxter County, AR",5005.0,46.0,6530.0
80,"Benton County, AR",5007.0,299.0,50039.0
81,"Boone County, AR",5009.0,58.0,7731.0
82,"Bradley County, AR",5011.0,11.0,1849.0
83,"Carroll County, AR",5015.0,48.0,5754.0
84,"Clark County, AR",5019.0,23.0,3108.0
85,"Clay County, AR",5021.0,23.0,3235.0
86,"Cleburne County, AR",5023.0,23.0,4469.0
87,"Columbia County, AR",5027.0,21.0,2901.0
88,"Conway County, AR",5029.0,26.0,4002.0
89,"Craighead County, AR",5031.0,153.0,18630.0
90,"Crawford County, AR",5033.0,101.0,13174.0
91,"Crittenden County, AR",5035.0,34.0,5565.0
92,"Cross County, AR",5037.0,24.0,2817.0
93,"Desha County, AR",5041.0,10.0,1540.0
94,"Drew County, AR",5043.0,14.0,2885.0
95,"Faulkner County, AR",5045.0,138.0,21940.0
96,"Franklin County, AR",5047.0,21.0,3872.0
97,"Fulton County, AR",5049.0,17.0,2159.0
98,"Garland County, AR",5051.0,108.0,16475.0
99,"Grant County, AR",5053.0,25.0,3554.0
100,"Greene County, AR",5055.0,85.0,9617.0
101,"Hempstead County, AR",5057.0,16.0,4020.0
102,"Hot Spring County, AR",5059.0,32.0,5944.0
103,"Howard County, AR",5061.0,20.0,2762.0
104,"Independence County, AR",5063.0,58.0,7878.0
105,"Izard County, AR",5065.0,20.0,2197.0
106,"Jackson County, AR",5067.0,15.0,2770.0
107,"Jefferson County, AR",5069.0,37.0,6066.0
108,"Johnson County, AR",5071.0,39.0,6088.0
109,"Lawrence County, AR",5075.0,28.0,3602.0
110,"Lincoln County, AR",5079.0,14.0,1932.0
111,"Little River County, AR",5081.0,12.0,1988.0
112,"Logan County, AR",5083.0,33.0,4680.0
113,"Lonoke County, AR",5085.0,97.0,14110.0
114,"Madison County, AR",5087.0,28.0,3377.0
115,"Marion County, AR",5089.0,24.0,2595.0
116,"Miller County, AR",5091.0,57.0,7370.0
117,"Mississippi County, AR",5093.0,60.0,7333.0
118,"Montgomery County, AR",5097.0,10.0,1698.0
119,"Nevada County, AR",5099.0,11.0,1436.0
120,"Ouachita County, AR",5103.0,26.0,3169.0
121,"Perry County, AR",5105.0,18.0,1980.0
122,"Phillips County, AR",5107.0,12.0,1669.0
123,"Pike County, AR",5109.0,23.0,2085.0
124,"Poinsett County, AR",5111.0,53.0,5285.0
125,"Polk County, AR",5113.0,29.0,4344.0
126,"Pope County, AR",5115.0,76.0,13182.0
127,"Pulaski County, AR",5119.0,331.0,55298.0
128,"Randolph County, AR",5121.0,26.0,3685.0
129,"St. Francis County, AR",5123.0,27.0,2478.0
