,County,County Code,Deaths,Population
0,"Autauga County, AL",1001.0,6437.0,737899.0
1,"Baldwin County, AL",1003.0,27685.0,2745809.0
2,"Barbour County, AL",1005.0,3095.0,256465.0
3,"Bibb County, AL",1007.0,3414.0,307247.0
4,"Blount County, AL",1009.0,9763.0,971658.0
5,"Bullock County, AL",1011.0,729.0,52829.0
6,"Butler County, AL",1013.0,3154.0,209667.0
7,"Calhoun County, AL",1015.0,20175.0,1619412.0
8,"Chambers County, AL",1017.0,5823.0,377004.0
9,"Cherokee County, AL",1019.0,5190.0,428191.0
10,"Chilton County, AL",1021.0,7350.0,675225.0
11,"Choctaw County, AL",1023.0,1792.0,144805.0
12,"Clarke County, AL",1025.0,3090.0,261434.0
13,"Clay County, AL",1027.0,2869.0,210330.0
14,"Cleburne County, AL",1029.0,2935.0,252478.0
15,"Coffee County, AL",1031.0,7041.0,674180.0
16,"Colbert County, AL",1033.0,10026.0,807771.0
17,"Conecuh County, AL",1035.0,1899.0,128359.0
18,"Coosa County, AL",1037.0,1722.0,136775.0
19,"Covington County, AL",1039.0,8111.0,582436.0
20,"Crenshaw County, AL",1041.0,2494.0,183625.0
21,"Cullman County, AL",1043.0,16431.0,1397808.0
22,"Dale County, AL",1045.0,6872.0,685627.0
23,"Dallas County, AL",1047.0,4105.0,249058.0
24,"DeKalb County, AL",1049.0,12791.0,1177593.0
25,"Elmore County, AL",1051.0,9888.0,1052618.0
26,"Escambia County, AL",1053.0,5774.0,439303.0
27,"Etowah County, AL",1055.0,21390.0,1551734.0
28,"Fayette County, AL",1057.0,3711.0,276635.0
29,"Franklin County, AL",1059.0,6707.0,530115.0
30,"Geneva County, AL",1061.0,5384.0,418734.0
31,"Greene County, AL",1063.0,467.0,31064.0
32,"Hale County, AL",1065.0,1609.0,118091.0
33,"Henry County, AL",1067.0,2721.0,210410.0
34,"Houston County, AL",1069.0,13437.0,1267374.0
35,"Jackson County, AL",1071.0,11066.0,898618.0
36,"Jefferson County, AL",1073.0,79414.0,6678698.0
